1, 9780698191266, The Pharaoh's Secret, Penguin Publishing Group, '2015-11-01', 448, 1.599
2, 9780804178785, Make Me, Random House Publishing Group, '2015-09-01', 416, 1.599
3, 9780571296620, Gone Again, Faber & Faber, '2013-02-01', 240, 0.153
4, 9780804139038, The Martian, Crown/Archetype, '2014-02-01', 368, 0.999
5, 9781448149940, 'Wrong Time, Wrong Place', Random House, '2013-02-01', 112, 0.42400000000000004
6, 9780062464286, The Midnight Watch, HarperCollins, '2015-11-01', 50, 0.499
7, 9780440339342, Worth Dying For, Random House Publishing Group, '2010-10-01', 304, 1.199
8, 9780143193340, The Girl in the Spider\'s Web, Penguin Canada, '2015-09-01', 400, 1.599
9, 9780062194923, The 6th Extinction, HarperCollins, '2014-08-01', 448, 1.399
10, 9780316097437, Zoo, 'Little, Brown and Company', '2012-09-01', 416, 0.899
11, 9780446409346, Four Blind Mice, Grand Central Publishing, '2003-10-01', 400, 0.6990000000000001
